atr42s1g00971,nc476s13g00685,ive10g02166,agr8s11g00652,spo4s8g00476,abr7s1g00070,da480s2g00912,ase9s8g01364,elg3s4g01414,aco40s3g00166,cs471s13g01524,afi49s4g02920,lc2s3g00020,cm170s12g00495,CdeChr20g00280,vvi161s16g00987,gbi44s5g00093,sgi44s5g02802,afi61s11g00054,,
atr42s12g02088,nc476s3g01099,ive4g00976,agr8s1g00876,spo4s1g00840,abr7s8g00981,da480s7g00443,ase9s5g00823,elg3s14g00777,aco40s4g00632,cs471s5g00349,afi49s1g02007,lc2s11g00090,cm170s2g01410,CdeChr21g00528,vvi161s19g01094,,,,,
atr42s1g00495,nc476s9g00125,ive3g00624,agr8s1g00826,spo4s1g00948,abr7s8g01047,da480s7g00571,ase9s2g02117,elg3s14g00670,aco40s18g00125,cs471s1g03061,afi49s1g01867,lc2s10g00923,cm170s10g00671,CdeChr6g00111,vvi161s13g01179,gbi44s12g01551,sgi44s1g00271,afi61s125g00015,smo62s71g00096,
atr42s3g00070,nc476s1g01650,ive2g00014,agr8s4g01704,spo4s12g00754,abr7s9g00050,da480s3g01018,ase9s5g01080,elg3s8g00128,aco40s18g00001,cs471s4g00428,afi49s1g00037,lc2s1g02241,cm170s2g03138,CdeChr9g00066,vvi161s18g00010,gbi44s9g02035,,afi61s74g00002,smo62s56g00194,
atr42s1g02355,nc476s6g01263,ive12g01439,agr8s6g02342,spo4s12g00629,abr7s9g00059,da480s5g01813,ase9s5g00889,elg3s7g01208,aco40s6g00244,cs471s14g01045,afi49s3g01741,lc2s17g01251,cm170s11g01138,CdeChr2g00440,vvi161s9g01179,gbi44s8g01343,sgi44s4g01673,afi61s17g00084,smo62s83g00093,ppa60s16g00538
atr42s12g01791,nc476s4g01245,ive1g01071,agr8s3g01873,spo4s15g00079,abr7s9g00216,da480s3g00183,ase9s3g01729,elg3s2g01573,aco40s6g00034,cs471s14g00675,afi49s1g00539,lc2s14g01103,cm170s9g00102,CdeChr23g00638,vvi161s9g00999,gbi44s2g00106,,afi61s120g00014,,ppa60s13g00391
atr42s12g01736,nc476s3g01746,ive1g01140,agr8s6g02078,spo4s12g00451,abr7s9g00236,da480s3g00206,ase9s5g02429,elg3s2g01552,aco40s20g00361,cs471s14g00572,afi49s1g00340,lc2s17g00958,cm170s2g00193,CdeChr4g00032,vvi161s4g00713,gbi44s7g01619,sgi44s3g03466,afi61s5g00006,smo62s173g00010,ppa60s3g00189
atr42s12g01381,nc476s4g00598,ive6g00999,agr8s6g02041,spo4s11g00113,abr7s9g00258,da480s8g01060,ase9s5g01595,elg3s8g01071,aco40s2g00161,cs471s14g00490,afi49s1g00416,lc2s14g01003,cm170s2g00228,CdeChr16g00243,vvi161s11g00788,gbi44s1g02012,sgi44sHRSCAF_1g00776,afi61s1123g00002,smo62s7g00073,ppa60s2g00623
atr42s10g01295,nc476s3g01329,ive4g02359,agr8s3g01465,spo4s15g00446,abr7s9g00468,da480s3g00424,ase9s4g02406,elg3s2g01203,aco40s6g00642,cs471s2g01077,afi49s1g01246,lc2s14g00603,cm170s4g01826,CdeChr31g00346,vvi161s1g00817,gbi44s4g01119,sgi44s10g02423,afi61s3g00153,smo62s4g00008,ppa60s17g00377
atr42s9g02055,nc476s9g00897,ive8g01065,agr8s5g00521,spo4s14g00376,abr7s9g00579,da480s5g00358,ase9s8g00880,elg3s4g01353,aco40s8g00008,cs471s2g02497,afi49s6g02027,lc2s2g00924,cm170s3g00845,CdeChr21g00151,vvi161s4g01345,gbi44s3g01030,sgi44s9g01841,afi61s17g00011,smo62s34g00136,ppa60s21g00196
atr42s13g01881,nc476s3g01658,ive6g01642,agr8s9g01388,spo4s4g00768,abr7s9g00591,da480s3g00540,ase9s9g00865,elg3s2g01267,aco40s2g00827,cs471s12g00948,afi49s7g01807,lc2s13g00179,cm170s4g01626,CdeChr5g00454,vvi161s18g00719,,,,,
atr42s8g00247,nc476s5g00236,ive2g03136,agr8s11g01254,spo4s1g00254,abr7s14g00045,da480s12g00939,ase9s6g01866,elg3s5g01464,aco40s22g00085,cs471s2g02009,afi49s2g01559,lc2s10g00669,cm170s9g00910,CdeChr19g00035,vvi161s8g00876,gbi44s2g00771,sgi44s11g02126,afi61s246g00008,smo62s19g00051,ppa60s19g00115
atr42s5g00338,nc476s1g02183,ive12g00879,agr8s2g01045,spo4s5g00463,abr7s14g00139,da480s4g01021,ase9s5g02714,elg3s6g00726,aco40s14g00762,cs471s10g01004,afi49s1g01020,lc2s1g01969,cm170s4g01185,CdeChr2g00080,vvi161s11g00268,gbi44s1g00271,,afi61s90g00011,smo62s194g00007,ppa60s5g00228
atr42s5g00197,nc476s6g00726,ive12g00727,agr8s2g01147,spo4s13g00414,abr7s14g00172,da480s4g00991,ase9s5g02800,elg3s6g00837,aco40s16g00448,cs471s10g01118,afi49s7g01028,lc2s1g01905,cm170s2g03077,CdeChr20g00689,vvi161s4g00293,gbi44s1g01181,,afi61s34g00050,smo62s204g00002,ppa60s16g00193
atr42s11g01949,nc476s1g03178,ive10g01548,agr8s6g01553,spo4s8g00560,abr7s14g00470,da480s4g00642,ase9s3g00847,elg3s7g00299,aco40s10g00283,cs471s8g01211,afi49s4g02569,lc2s3g00566,cm170s12g00181,CdeChr19g00219,vvi161s19g01217,gbi44s7g01364,sgi44s3g01719,afi61s33g00017,smo62s80g00003,ppa60s5g00953
atr42s1g01935,nc476s5g00640,ive10g01711,agr8s3g00955,spo4s13g00513,abr7s14g00521,da480s20g00736,ase9s5g01845,elg3s1g00489,aco40s16g00496,cs471s8g01573,afi49s4g02756,lc2s3g00125,cm170s9g00037,CdeChr19g00133,vvi161s15g00111,gbi44s9g00817,sgi44s4g02838,afi61s170g00015,smo62s64g00012,ppa60s20g00300
atr42s1g01846,nc476s2g02205,ive10g01858,agr8s3g01200,spo4s8g00625,abr7s14g00633,da480s20g00852,ase9s5g02642,elg3s1g00645,aco40s1g01187,cs471s8g01475,afi49s4g01346,lc2s15g01476,cm170s7g01630,CdeChr20g00250,vvi161s19g00180,,,afi61s6g00430,smo62s3g00233,ppa60s9g00255
atr42s12g01199,nc476s11g00780,ive4g01245,agr8s3g00605,spo4s13g00654,abr7s14g00664,da480s4g00771,ase9s3g01967,elg3s1g00678,aco40s16g00249,cs471s8g01004,afi49s4g02006,lc2s15g01165,cm170s6g00150,CdeChr11g00441,vvi161s10g00848,gbi44s3g01942,sgi44s10g01096,afi61s177g00002,smo62s61g00191,ppa60s15g00612
atr42s13g00804,nc476s2g00295,ive4g02692,agr8s3g00370,spo4s8g01063,abr7s14g00782,da480s4g00809,ase9s3g01175,elg3s1g00851,aco40s10g00598,cs471s1g00894,afi49s3g00637,lc2s2g00276,cm170s4g00480,CdeChr28g00098,vvi161s1g00419,gbi44s8g01506,sgi44s5g02673,afi61s114g00029,smo62s148g00020,
atr42s10g01769,nc476s5g01700,ive11g00380,agr8s1g02782,spo4s10g00480,abr7s11g00082,da480s6g00077,ase9s4g00474,elg3s2g01863,aco40s23g00385,cs471s5g00074,afi49s2g00521,lc2s10g00186,cm170s4g01029,CdeChr6g00044,vvi161s5g00145,gbi44s12g00318,sgi44s2g03619,,,
atr42s2g01115,nc476s1g01891,ive3g01786,agr8s4g00731,spo4s5g00076,abr7s11g00221,da480s9g00322,ase9s1g03344,elg3s2g00055,aco40s19g00537,cs471s6g00127,afi49s7g00326,lc2s1g00401,cm170s1g01190,CdeChr15g00215,vvi161s10g00127,gbi44s3g00769,sgi44s6g01808,afi61s3g00156,smo62s56g00148,
atr42s8g01585,nc476s10g01537,ive4g00905,agr8s8g01954,spo4s10g00860,abr7s11g00575,da480s9g00647,ase9s5g00656,elg3s5g00309,aco40s18g00500,cs471s2g01324,afi49s5g02099,lc2s4g00411,cm170s3g02936,CdeChr24g00143,vvi161s6g00712,gbi44s1g02589,sgi44s1g04007,afi61s1g00142,smo62s44g00161,
atr42s3g00499,nc476s9g00029,ive2g00428,agr8s2g00300,spo4s7g00142,abr7s11g00599,da480s8g01308,ase9s6g00893,elg3s3g00847,aco40s9g00435,cs471s3g02511,afi49s1g00974,lc2s5g00527,cm170s2g02537,CdeChr2g00454,vvi161s13g01545,gbi44s1g03177,sgi44s1g04633,afi61s7g00292,smo62s6g00250,ppa60s11g00258
atr42s8g01905,nc476s2g01351,ive3g01575,agr8s8g02044,spo4s1g00400,abr7s11g00620,da480s19g01182,ase9s7g01097,elg3s5g01146,aco40s13g00220,cs471s6g02588,afi49s2g02862,lc2s18g01083,cm170s9g00622,CdeChr10g00563,vvi161s13g00159,gbi44s4g00203,sgi44s3g03421,,,ppa60s22g00108
atr42s1g00344,nc476s9g00493,ive12g02092,agr8s1g03002,spo4s1g00596,abr7s11g00840,da480s19g00012,ase9s7g00318,elg3s5g00891,aco40s13g00335,cs471s1g01493,afi49s2g03307,lc2s15g00201,cm170s1g02997,CdeChr40g00309,vvi161s7g01678,gbi44s11g00403,sgi44s2g00284,afi61s1g00129,smo62s30g00197,ppa60s5g00465
atr42s1g02295,nc476s11g01521,ive3g00686,agr8s12g00016,spo4s6g00108,abr7s11g00924,da480s19g01673,ase9s7g00148,elg3s10g00276,aco40s13g00413,cs471s4g00488,afi49s1g02437,lc2s10g00974,cm170s10g00621,CdeChr4g00241,vvi161s5g00459,gbi44s8g01061,,afi61s24g00092,smo62s2g00487,ppa60s7g00930
atr42s1g02565,nc476s11g00845,ive12g01619,agr8s1g01296,spo4s10g00544,abr7s11g00934,da480s19g01355,ase9s4g00417,elg3s10g00293,aco40s13g00431,cs471s5g00436,afi49s1g01967,lc2s9g00668,cm170s11g00260,CdeChr3g00497,vvi161s5g00403,gbi44s8g01359,sgi44s4g01640,afi61s766g00002,smo62s15g00047,ppa60s2g00584
atr42s1g02581,nc476s9g00936,ive3g00806,agr8s1g01294,spo4s6g00094,abr7s11g00936,da480s19g01356,ase9s7g00044,elg3s5g00837,aco40s23g00392,cs471s15g00771,afi49s1g01966,lc2s9g00670,cm170s2g01434,CdeChr4g00294,vvi161s5g00404,gbi44s8g02006,sgi44s8g01356,,smo62s94g00017,ppa60s4g00216
atr42s1g02298,nc476s9g01005,ive3g00680,agr8s1g01198,spo4s1g00950,abr7s11g00938,da480s6g00658,ase9s7g00105,elg3s10g00286,aco40s13g00425,cs471s4g00468,afi49s1g02438,lc2s10g00977,cm170s11g00291,CdeChr37g00230,vvi161s5g00458,,,afi61s15g00119,smo62s15g00256,ppa60s19g00149
atr42s2g00651,nc476s1g02795,ive5g01637,agr8s10g00191,spo4s17g00204,abr7s11g00985,da480s19g00573,ase9s4g01144,elg3s14g00597,aco40s18g00177,cs471s6g00040,afi49s2g02450,lc2s1g00283,cm170s11g00437,CdeChr3g00231,vvi161s10g00064,gbi44s5g00817,sgi44s5g02301,afi61s84g00009,smo62s145g00012,ppa60s5g00485
atr42s6g01992,nc476s5g01851,ive6g02132,agr8s8g00976,spo4s2g00331,abr7s11g01014,da480s9g00352,ase9s1g03427,elg3s9g00220,aco40s12g00868,cs471s9g01614,afi49s4g00026,lc2s8g00597,cm170s12g00958,CdeChr20g00608,vvi161s1g00628,gbi44s7g01766,sgi44s3g00537,afi61s7g00285,smo62s47g00111,ppa60s21g00031
atr42s4g00017,nc476s8g00799,ive3g02932,agr8s10g00613,spo4s7g01057,abr7s10g00042,da480s5g02182,ase9s6g01916,elg3s13g00632,aco40s6g00578,cs471s11g00026,afi49s3g02854,lc2s4g02199,cm170s3g01756,CdeChr9g00041,vvi161s17g00675,gbi44s11g00627,sgi44s2g01292,afi61s61g00017,smo62s80g00116,ppa60s16g00009
atr42s4g02589,nc476s2g02415,ive3g02947,agr8s10g00564,spo4s18g00010,abr7s10g00058,da480s19g00278,ase9s6g01890,elg3s13g00655,aco40s6g00209,cs471s11g01280,afi49s3g02840,lc2s4g02184,cm170s5g00033,CdeChr7g00126,vvi161s14g01636,gbi44s11g01049,sgi44s2g01735,afi61s208g00021,smo62s1g00497,ppa60s6g01273
atr42s4g02581,nc476s2g02417,ive9g00114,agr8s10g00563,spo4s18g00011,abr7s10g00061,da480s5g02123,ase9s6g01888,elg3s15g00465,aco40s2g00674,cs471s3g00511,afi49s3g02837,lc2s4g02182,cm170s2g03153,CdeChr2g00335,vvi161s1g00915,,sgi44s2g01102,afi61s65g00127,smo62s12g00093,ppa60s17g01061
atr42s2g00945,nc476s11g00423,ive3g01823,agr8s1g01673,spo4s17g00258,abr7s10g00513,da480s18g00461,ase9s6g00522,elg3s1g01212,aco40s9g00786,cs471s6g00206,afi49s7g00297,lc2s1g00448,cm170s7g00430,CdeChr16g00069,vvi161s19g00216,gbi44s4g00377,sgi44s3g02583,afi61s117g00065,smo62s92g00053,ppa60s17g00597
atr42s8g00964,nc476s2g00360,ive4g02554,agr8s3g00493,spo4s4g00020,abr7s10g00557,da480s18g00874,ase9s4g00889,elg3s10g00832,aco40s2g00912,cs471s13g00364,afi49s3g01153,lc2s2g00391,cm170s7g00399,CdeChr11g00085,vvi161s1g00368,gbi44s6g01257,sgi44s10g03031,afi61s90g00105,smo62s2g00706,ppa60s16g00433
atr42s4g02438,nc476s12g00923,ive14g00846,agr8s1g01989,spo4s7g01013,abr7s10g00688,da480s5g02237,ase9s9g00097,elg3s10g00957,aco40s6g00282,cs471s7g00531,afi49s2g00173,lc2s12g00712,cm170s10g00150,CdeChr35g00323,vvi161s11g00218,gbi44s1g01765,sgi44s5g01265,afi61s65g00119,smo62s29g00028,ppa60s1g01134
atr42s12g00689,nc476s9g01223,ive6g01276,agr8s9g01166,spo4s5g00684,abr7s18g00241,da480s9g00445,ase9s5g03062,elg3s8g00639,aco40s14g00625,cs471s1g00616,afi49s7g01469,lc2s13g00992,cm170s2g02839,CdeChr5g00397,vvi161s3g00612,gbi44s8g01511,sgi44s4g00264,afi61s228g00016,smo62s8g00273,ppa60s18g00310
atr42s10g01037,nc476s7g01489,ive4g02337,agr8s9g00845,spo4s12g00006,abr7s18g00260,da480s9g00421,ase9s5g03037,elg3s8g00650,aco40s14g00614,cs471s7g01095,afi49s2g03450,lc2s16g00024,cm170s3g01152,CdeChr23g00221,vvi161s12g00517,gbi44s1g01505,sgi44s11g01285,afi61s76g00092,smo62s126g00014,ppa60s3g00245
atr42s10g02074,nc476s3g02147,ive11g01395,agr8s3g01676,spo4s12g00187,abr7s18g00417,da480s5g02301,ase9s5g00946,elg3s8g00964,aco40s14g00732,cs471s6g00816,afi49s3g00399,lc2s17g00075,cm170s4g01884,CdeChr17g00080,vvi161s12g00844,gbi44s9g01458,sgi44s7g02095,afi61s35g00070,smo62s1g00747,ppa60s7g00201
atr42s10g00951,nc476s7g01568,ive11g01615,agr8s9g01004,spo4s11g00334,abr7s18g00601,da480s3g00507,ase9s6g02906,elg3s2g01185,aco40s2g00470,cs471s6g00716,afi49s2g03426,lc2s16g00009,cm170s3g01763,CdeChr23g00209,vvi161s12g00495,gbi44s12g01577,sgi44s3g04175,afi61s6g00318,smo62s3g00538,ppa60s17g00402
atr42s6g02286,nc476s6g00067,ive6g02608,agr8s8g01817,spo4s1g00263,abr7s18g00663,da480s18g00231,ase9s7g01494,elg3s5g00356,aco40s13g00248,cs471s8g00182,afi49s2g02900,lc2s15g00641,cm170s3g03106,CdeChr35g00560,vvi161s13g01049,gbi44s2g01233,sgi44s6g03236,afi61s215g00054,,
atr42s6g02263,nc476s13g00007,ive6g02588,agr8s8g01810,spo4s4g00896,abr7s18g00666,da480s4g00190,ase9s1g02411,elg3s2g00101,aco40s1g00696,cs471s11g00070,afi49s1g03859,lc2s15g00608,cm170s3g03094,CdeChr23g00528,vvi161s7g01121,gbi44s4g00425,sgi44s3g02553,afi61s167g00015,smo62s68g00112,
atr42s6g02303,nc476s9g00061,ive6g02230,agr8s1g01970,spo4s10g00164,abr7s18g00671,da480s4g00218,ase9s1g02427,elg3s2g00109,aco40s1g01058,cs471s9g01209,afi49s2g01906,lc2s3g01176,cm170s12g00676,CdeChr27g00176,vvi161s5g01578,gbi44s4g00068,sgi44s3g03165,afi61s365g00005,smo62s18g00032,ppa60s4g00789
atr42s11g00820,nc476s13g00390,ive7g02167,agr8s6g01786,spo4s7g00415,abr7s18g00894,da480s4g00498,ase9s1g00608,elg3s8g00274,aco40s1g00944,cs471s8g00089,afi49s1g03659,lc2s12g00219,cm170s12g01101,CdeChr1g00224,vvi161s6g01306,,,,,
atr42s3g02987,nc476s3g01940,ive1g01968,agr8s7g00864,spo4s18g00466,abr7s1g00007,da480s5g00696,ase9s1g00870,,aco40s8g00099,cs471s1g00329,afi49s7g01061,lc2s16g00511,cm170s1g02246,CdeChr27g00521,vvi161s7g01561,gbi44s1g00783,,afi61s6g00184,smo62s25g00197,ppa60s17g00291
atr42s7g01605,nc476s12g00101,ive14g00238,agr8s2g01702,spo4s2g00230,abr7s1g00165,da480s14g00179,ase9s1g01749,elg3s4g00494,aco40s9g00671,cs471s4g02226,afi49s6g00465,lc2s9g00979,,CdeChr39g00121,vvi161s14g00558,,,,,
atr42s10g00146,nc476s8g00276,ive4g01377,agr8s3g01422,spo4s1g01440,abr7s1g00354,da480s19g00152,ase9s4g01914,elg3s13g00130,aco40s15g00404,cs471s7g01391,afi49s7g00418,lc2s16g00869,cm170s5g00297,,vvi161s14g01727,gbi44s7g02050,sgi44s3g00143,,smo62s2g00406,
atr42s10g00188,nc476s7g00711,ive11g01090,agr8s7g01520,spo4s3g00867,abr7s1g00360,da480s13g00205,ase9s4g01931,elg3s13g00141,aco40s1g00296,,afi49s7g00829,lc2s16g00989,cm170s1g02034,CdeChr11g00396,vvi161s14g01717,,sgi44s2g02916,afi61s288g00006,smo62s110g00062,ppa60s12g00824
atr42s10g00256,nc476s3g01455,,agr8s3g01442,spo4s3g00855,abr7s1g00373,da480s19g00169,ase9s4g01953,elg3s15g00086,aco40s1g00297,cs471s7g01429,afi49s7g00785,lc2s4g00151,cm170s1g00433,CdeChr26g00273,vvi161s17g00735,gbi44s4g00854,,afi61s68g00102,smo62s143g00044,
atr42s12g01251,nc476s3g02034,ive6g01065,agr8s9g01147,spo4s9g00733,abr7s1g00428,da480s13g00272,ase9s4g02086,,aco40s12g00577,cs471s1g00501,afi49s7g01508,lc2s16g01239,cm170s4g00924,CdeChr14g00563,vvi161s3g00689,,,,,
atr42s12g01235,nc476s3g01141,ive6g01081,agr8s9g01134,spo4s7g00229,abr7s1g00442,da480s13g00262,ase9s4g02108,,aco40s15g00470,cs471s1g00493,afi49s7g01609,lc2s13g00401,cm170s2g02764,CdeChr23g00121,vvi161s7g01648,gbi44s4g00585,sgi44s3g03037,,,ppa60s18g00839
atr42s12g01214,nc476s3g01506,ive1g01393,agr8s9g01144,spo4s9g00727,abr7s1g00446,da480s13g00258,ase9s4g02113,elg3s15g00038,aco40s15g00467,cs471s1g00487,afi49s7g01620,lc2s13g00393,cm170s2g02758,CdeChr22g00466,,gbi44s3g00834,sgi44s9g01729,afi61s38g00036,smo62s142g00029,ppa60s2g00173
atr42s9g00468,nc476s2g01695,ive13g01425,agr8s5g00260,spo4s9g00206,abr7s1g00541,da480s14g01108,ase9s8g00890,elg3s4g00182,aco40s8g00606,cs471s10g00917,afi49s6g01976,lc2s4g00949,cm170s8g00740,CdeChr12g00486,,,,,,
,nc476s2g00521,ive13g00974,agr8s7g01911,spo4s20g00096,abr7s1g00597,da480s14g00368,ase9s4g02868,elg3s16g00459,aco40s22g00154,cs471s3g01523,afi49s4g00940,lc2s8g01026,cm170s7g01484,CdeChr32g00057,vvi161s15g00716,,,,,
atr42s9g02619,nc476s9g01733,ive13g00765,agr8s5g00689,spo4s2g00985,abr7s1g00625,da480s14g01293,ase9s8g01758,elg3s11g00352,aco40s8g00473,cs471s6g00953,afi49s2g01378,lc2s8g01136,cm170s2g00346,,vvi161s16g00762,,,,,
atr42s3g02835,nc476s1g01461,ive2g01037,agr8s8g00125,spo4s3g00104,abr7s1g00714,da480s19g00620,ase9s4g01734,elg3s3g01657,aco40s1g00021,cs471s4g01051,afi49s2g00359,lc2s11g00009,cm170s5g01397,CdeChr25g00150,,gbi44s7g00938,sgi44s11g00244,afi61s5g00071,smo62s21g00163,ppa60s18g00038
atr42s3g02766,nc476s1g01408,ive2g00953,agr8s12g00318,spo4s1g01282,abr7s1g00748,da480s13g00865,ase9s6g03256,elg3s10g00962,aco40s1g00034,cs471s1g02123,afi49s2g00290,lc2s8g00015,cm170s7g00919,CdeChr40g00100,,gbi44s11g00975,sgi44s4g02888,afi61s45g00160,smo62s48g00222,ppa60s11g01105
atr42s3g02360,nc476s6g00820,ive2g00708,agr8s8g00201,spo4s3g00478,abr7s1g00835,da480s19g00102,,elg3s3g01587,aco40s15g00098,cs471s1g02576,afi49s2g00117,lc2s11g00350,cm170s4g00511,CdeChr17g00357,vvi161s18g00894,gbi44s1g02073,sgi44s11g01622,afi61s130g00022,smo62s107g00015,ppa60s26g00019
atr42s7g00378,,ive11g01631,agr8s3g01721,spo4s12g00223,abr7s1g00854,da480s5g02322,ase9s3g01800,elg3s7g01195,aco40s14g00744,cs471s6g00705,afi49s1g00143,lc2s13g01199,cm170s1g01810,CdeChr23g00214,vvi161s12g00501,gbi44s4g01965,sgi44s8g00576,,,ppa60s23g00922
atr42s9g00453,nc476s9g00802,,agr8s12g00460,spo4s9g00199,abr7s1g00996,da480s2g00865,ase9s8g01403,elg3s11g00142,aco40s9g00700,cs471s2g02710,afi49s3g00293,lc2s4g00934,cm170s5g00577,CdeChr40g00145,vvi161s18g00081,,,,,
atr42s9g00653,nc476s2g01670,ive8g01494,agr8s5g00354,spo4s20g00253,abr7s1g01094,da480s2g00243,ase9s1g02258,,aco40s3g00753,cs471s12g00391,afi49s6g00815,lc2s4g01076,cm170s8g00818,CdeChr2g00709,vvi161s3g00215,gbi44s3g00604,sgi44s7g02819,afi61s73g00079,smo62s1g00775,ppa60s16g00811
atr42s9g01616,nc476s9g01962,ive8g00980,agr8s5g00436,spo4s9g00252,abr7s1g01141,da480s14g00382,ase9s1g01992,,aco40s8g00407,cs471s2g02593,afi49s6g01711,lc2s4g00479,cm170s4g00173,CdeChr14g00108,vvi161s4g01385,gbi44s6g00523,sgi44s5g03264,,,
atr42s9g00186,nc476s2g01446,ive8g02066,agr8s7g02281,spo4s14g00470,abr7s1g01185,da480s14g01165,ase9s8g01537,,aco40s3g00100,cs471s2g02865,afi49s6g01330,lc2s4g01271,cm170s8g00630,CdeChr41g00354,vvi161s5g01414,gbi44s2g00871,sgi44s10g01186,afi61s343g00015,smo62s41g00144,ppa60s3g01290
,nc476s12g01429,ive8g00665,agr8s5g01395,spo4s2g00889,abr7s1g01418,da480s14g01420,ase9s8g01064,elg3s11g00221,aco40s5g00758,cs471s9g00972,afi49s2g00773,lc2s8g01230,cm170s7g01272,CdeChr8g00105,vvi161s15g00586,,,,,
atr42s3g01914,nc476s4g01717,ive8g00662,agr8s7g00439,spo4s2g00884,abr7s1g01527,da480s16g00356,ase9s8g00989,elg3s4g00891,aco40s3g00494,cs471s6g01168,afi49s2g00761,lc2s11g01093,cm170s6g01313,,vvi161s15g00589,gbi44s5g01571,sgi44s9g02631,afi61s167g00009,smo62s21g00055,ppa60s2g00865
atr42s13g00265,nc476s4g01753,,agr8s5g01463,spo4s14g00292,abr7s1g01572,da480s16g00310,ase9s6g02870,elg3s4g00961,aco40s8g00718,cs471s6g01251,afi49s2g00643,lc2s8g01319,cm170s6g00489,CdeChr31g00515,vvi161s16g00432,gbi44s7g02081,,afi61s26g00026,smo62s108g00072,ppa60s2g00626
atr42s13g00254,nc476s4g01746,ive13g00492,agr8s5g01472,spo4s14g00294,abr7s1g01576,da480s16g00304,ase9s8g00564,elg3s4g00968,aco40s8g00721,cs471s6g01264,afi49s2g00628,lc2s11g01147,cm170s6g01259,,vvi161s15g00514,,sgi44s10g02170,,smo62s1g00883,ppa60s14g00328
atr42s13g00171,nc476s12g00913,ive13g00448,agr8s7g00304,spo4s2g01088,abr7s1g01618,da480s4g01754,ase9s1g02862,elg3s4g01019,aco40s3g00868,,afi49s2g00558,lc2s11g01190,cm170s6g01233,CdeChr32g00509,vvi161s15g00480,gbi44s4g00893,sgi44s3g03109,,smo62s18g00271,
atr42s10g01170,nc476s4g01724,ive8g00364,agr8s5g01641,spo4s11g00614,abr7s1g01710,da480s16g00153,,elg3s11g00589,aco40s3g00924,cs471s6g01492,afi49s2g00565,lc2s11g01313,cm170s3g02634,CdeChr19g00620,vvi161s2g00782,gbi44s11g01675,sgi44s11g02085,,,
atr42s13g00045,nc476s12g01404,ive13g00377,agr8s7g00177,spo4s9g00565,abr7s1g01722,da480s20g00026,ase9s8g00840,elg3s11g00601,aco40s3g00939,cs471s9g00755,afi49s2g00593,lc2s8g01436,cm170s6g00530,,vvi161s16g00233,gbi44s10g01788,sgi44s9g02466,afi61s37g00027,smo62s121g00059,ppa60s17g01000
atr42s13g00066,nc476s4g02031,ive13g00390,agr8s5g01683,spo4s11g00646,abr7s1g01726,da480s11g00269,,elg3s4g01142,aco40s3g00941,cs471s6g01528,afi49s2g01296,lc2s8g01437,cm170s6g00529,CdeChr10g00236,vvi161s9g00934,,sgi44s6g02889,,,ppa60s4g00439
atr42s5g00357,nc476s1g02160,ive12g00888,agr8s11g00435,spo4s3g01065,abr7s1g01731,da480s20g00433,ase9s5g02711,elg3s15g00322,aco40s6g00447,cs471s8g01716,afi49s1g01043,lc2s1g01972,cm170s2g02933,,vvi161s9g00261,gbi44s1g00250,,,,
atr42s3g01901,nc476s4g01532,ive8g00102,agr8s5g01815,spo4s11g00784,abr7s1g01836,da480s16g00042,ase9s8g01217,,aco40s3g01039,cs471s9g00623,afi49s2g01201,lc2s8g01676,cm170s8g01516,CdeChr31g00221,vvi161s16g00554,,,,,
atr42s10g00210,nc476s3g01792,ive9g01663,agr8s8g00419,spo4s1g00262,abr7s1g01858,da480s4g00361,ase9s8g00629,,aco40s6g00027,cs471s2g01999,afi49s2g01579,lc2s18g00151,cm170s6g00203,CdeChr19g00143,vvi161s8g00881,gbi44s12g00354,sgi44s2g03560,afi61s222g00008,smo62s70g00139,
atr42s10g00817,nc476s1g03598,ive4g02295,agr8s10g01147,spo4s2g00190,abr7s2g00097,da480s2g00908,ase9s1g00067,elg3s4g01403,aco40s8g00236,cs471s7g02401,afi49s7g01068,lc2s16g00295,cm170s1g02025,,vvi161s8g00190,gbi44s8g01349,sgi44s10g01049,afi61s22g00017,smo62s21g00060,ppa60s14g00587
atr42s7g00776,,ive14g00439,agr8s10g01007,spo4s2g00084,abr7s2g00138,da480s2g00590,ase9s8g01447,elg3s4g00529,aco40s3g00270,cs471s6g02897,afi49s3g01101,lc2s5g01026,cm170s1g03133,CdeChr6g00271,vvi161s13g00656,gbi44s6g01497,sgi44s7g01356,afi61s3353g00002,smo62s2g00826,ppa60s13g00696
atr42s7g00222,nc476s5g01858,ive12g01124,agr8s1g02444,spo4s11g00384,abr7s2g00175,da480s2g00595,,elg3s11g00094,aco40s8g00299,cs471s7g00896,afi49s2g01182,lc2s10g00827,cm170s5g01988,CdeChr34g00239,vvi161s9g00150,gbi44s11g00953,sgi44s2g01590,afi61s237g00010,smo62s27g00253,ppa60s8g00932
atr42s10g00602,nc476s8g00210,ive11g01481,agr8s7g01213,spo4s3g00743,abr7s2g00350,da480s13g00138,ase9s4g01589,elg3s15g00247,aco40s15g00346,cs471s6g00674,afi49s5g00264,lc2s16g00163,cm170s11g00359,CdeChr10g00263,,gbi44s1g01702,sgi44s7g02113,afi61s2g00126,,ppa60s5g00331
